Observation ID,Date,Longitude,latitude,Area,Aspect,Type,Trigger,avalanche_size,avalanche_occurred,elevation,slope,aspect_degrees,aspect_cardinal,snow_depth,new_snow_24h,swe,temp,wind_speed,nearest_stations,nearest_distances
49238b1d-79ff-41e9-95fd-16260e1b1b61,2026-02-13 02:13:00+00:00,-107.4270133,39.7628274,Steamboat & Flat Tops,E,L,N,1.0,1,3362.0,28.634595301317734,85.03718490699595,E,83.97038144142921,9.939938433873534,19.463809394493968,-7.421058540438166,,"345:CO:SNTL,378:CO:SNTL,827:CO:SNTL","6.0,19.3,30.9"
cf29b4da-aac5-4f7e-b174-76c489a4c7b2,2026-02-12 20:00:00+00:00,-106.984391,40.8232073,Steamboat & Flat Tops,E,SS,N,1.5,1,2591.0,11.158064957861091,105.33328479305356,E,89.28244044949551,12.752745920574966,20.495383438444456,-2.3576195539102445,,"467:CO:SNTL,1252:CO:SNTL,940:CO:SNTL","3.0,10.3,19.9"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:50:00+00:00,-107.058766,38.919702,Gunnison,NE,SS,N,2.0,1,3435.0,27.228424482290336,33.221975166711445,NE,69.08851683467124,3.921243204946553,20.87111272506289,-3.845519903858921,,"380:CO:SNTL,737:CO:SNTL,669:CO:SNTL","9.6,10.6,19.1"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.116667,38.933857,Gunnison,SE,,N,1.5,1,3724.0,25.997108647526694,141.56269850893747,SE,69.73434797464992,1.4163489633605095,23.014739522401552,-3.7346892745264015,,"737:CO:SNTL,380:CO:SNTL,669:CO:SNTL","10.7,14.8,16.2"
3d2974e6-8de4-4393-8b09-d020fd9e4986,2026-02-12 19:00:00+00:00,-107.1753224,39.0183919,Aspen,N,SS,N,1.5,1,3332.0,40.505057263544074,344.9768467482404,N,68.48259233269877,1.2685811538678111,20.251308542340045,-2.549208491735055,,"669:CO:SNTL,737:CO:SNTL,618:CO:SNTL","7.2,10.9,15.7"
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.011971,39.021924,Gunnison,SE,L,N,1.5,1,3624.0,37.31457861475354,151.34404583866257,SE,70.03643059798183,-1.8349085693437692,28.749006307738128,-4.316456341415313,,"737:CO:SNTL,669:CO:SNTL,380:CO:SNTL","3.3,13.0,15.1"
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.051755,38.982873,Gunnison,SE,,N,1.5,1,3666.0,29.751365250505483,164.9315118405078,S,69.82723157544616,-1.5607764785035043,28.368141418084292,-4.29263054291343,,"737:CO:SNTL,380:CO:SNTL,669:CO:SNTL","3.5,13.0,13.3"
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.008003,38.952292,Gunnison,SE,SS,N,2.0,1,3726.0,28.323094333924043,138.19247261293202,SE,72.82418077448202,4.975999583319932,22.094534129270343,-4.300200723106075,,"737:CO:SNTL,380:CO:SNTL,1326:CO:SNTL","7.8,8.0,15.6"
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-106.981357,38.825573,Gunnison,N,L,N,1.5,1,3718.0,32.52420978878992,12.484518272330163,N,70.77852459365826,9.284953424951798,16.459686674330246,-4.029766229122599,,"380:CO:SNTL,737:CO:SNTL,1326:CO:SNTL","8.0,21.8,23.0"
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.017526,39.01467,Gunnison,S,,N,1.0,1,3740.0,32.003213041166994,181.1123996162978,S,69.98723176423631,-2.0121670139773684,29.147051751945114,-4.369170006612042,,"737:CO:SNTL,669:CO:SNTL,380:CO:SNTL","2.7,13.0,14.5"
49238b1d-79ff-41e9-95fd-16260e1b1b61,2026-02-12 19:00:00+00:00,-107.3080947,39.7476417,Steamboat & Flat Tops,NE,SS,N,1.0,1,3312.0,8.389301002244132,70.06746343806047,E,89.19544612263348,9.73534670186934,19.73236016141043,-5.687756267286114,,"345:CO:SNTL,827:CO:SNTL,378:CO:SNTL","4.5,28.6,28.6"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.018789,38.892144,Gunnison,NE,L,N,1.0,1,3115.0,32.303509393007396,44.41735114081352,NE,70.14053789200719,8.799223277472914,16.719245103150566,-4.000071861278541,,"380:CO:SNTL,737:CO:SNTL,1326:CO:SNTL","5.7,13.9,19.7"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.026603,38.900485,Gunnison,NE,WL,N,1.0,1,2892.0,35.33955153676992,30.291696100317253,NE,70.51481893518311,8.237131506594988,17.560208044141095,-4.052317174331207,,"380:CO:SNTL,737:CO:SNTL,1326:CO:SNTL","6.4,12.8,19.7"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.069166,38.936413,Gunnison,E,WL,N,1.0,1,3260.0,27.269616532330705,88.9890029476696,E,69.33363447188268,2.0841964072156234,22.981849860898414,-3.896642861764611,,"737:CO:SNTL,380:CO:SNTL,669:CO:SNTL","8.9,11.1,17.0"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.06145,38.928701,Gunnison,NE,SS,N,1.0,1,3194.0,33.31453339346835,61.484453189535664,NE,69.18481385015019,3.041373225965885,21.899767155542968,-3.874356107597905,,"737:CO:SNTL,380:CO:SNTL,669:CO:SNTL","9.6,10.1,18.1"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.057244,38.918251,Gunnison,E,SS,N,2.0,1,3458.0,20.58647439072209,47.944046349987616,NE,69.06562111769375,4.113879394829921,20.658643391229667,-3.842338566734446,,"380:CO:SNTL,737:CO:SNTL,669:CO:SNTL","9.4,10.7,19.3"
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.067042,38.929392,Gunnison,NE,SS,N,2.0,1,3414.0,24.48786523674588,51.75709754450589,NE,69.24224727514127,2.7553146561616817,22.179233613528194,-3.870220275908243,,"737:CO:SNTL,380:CO:SNTL,669:CO:SNTL","9.6,10.6,17.8"
3d2974e6-8de4-4393-8b09-d020fd9e4986,2026-02-12 19:00:00+00:00,-107.2056417,39.0311906,Aspen,N,SS,N,2.0,1,3529.0,10.23793994053394,82.27817419986903,E,67.34373965841513,2.6128676935041204,19.04002148364753,-2.318250361329639,,"669:CO:SNTL,618:CO:SNTL,737:CO:SNTL","7.5,13.0,13.6"
31f87455-415a-4a11-9aff-c45ed898117e,2026-02-12 18:00:00+00:00,-107.7862461,37.8460554,Northern San Juan,SW,WL,N,1.0,1,3784.0,27.535048332458096,233.69278111696352,SW,53.677844282416146,2.3614181874426623,14.212283232439257,-4.3904122289067145,,"629:CO:SNTL,1344:CO:SNTL,713:CO:SNTL","5.2,7.0,8.1"
,2026-02-11 19:00:00+00:00,-107.101155,38.944447,Gunnison,NE,L,N,1.0,1,3545.0,13.418926390934148,4.007804542372327,N,63.5,-1.4420342076642887,22.805989766117396,-3.305441711227985,,"737:CO:SNTL,380:CO:SNTL,669:CO:SNTL","9.0,14.0,15.3"
f5c43ac4-28c3-431d-97ed-cafb71de63b0,2026-02-10 19:00:00+00:00,-105.8805766,39.6531554,Vail & Summit County,SE,SS,N,1.0,1,3713.0,24.6678458204553,78.91358698834037,E,66.13986056156958,0.0,16.441087871893174,-4.813264978378499,,"505:CO:SNTL,602:CO:SNTL,935:CO:SNTL","1.2,3.0,11.3"
,2026-02-08 19:00:00+00:00,-107.0394604,39.0114568,Gunnison,SW,,N,1.5,1,3372.0,34.13153358753246,231.54038582819663,SW,86.04670877315941,0.0,26.799592983051507,-6.960795118440861,,"737:CO:SNTL,669:CO:SNTL,380:CO:SNTL","0.9,11.7,15.0"
eca4ac69-24ac-4f9d-830f-8028a3c96ae0,2026-02-08 19:00:00+00:00,-107.6446518,37.8003871,Northern San Juan,N,SS,N,1.0,1,3667.0,36.82550138823088,349.4581825881048,N,49.73335646018765,1.3065501050025528,12.301302312797732,-7.376441822227871,,"632:CO:SNTL,629:CO:SNTL,713:CO:SNTL","6.9,8.9,11.8"
,2026-02-08 19:00:00+00:00,-106.9669489,38.9816172,Gunnison,SE,,N,1.5,1,3630.0,37.63202423340054,153.485340876343,SE,72.04193479870548,0.0,20.233236077526087,-4.8648098945315335,,"737:CO:SNTL,380:CO:SNTL,1326:CO:SNTL","8.0,9.8,11.3"
725f0250-8bcd-4c39-bf21-2612490e104e,2026-02-08 19:00:00+00:00,-105.673358,40.3108177,Front Range,SE,,N,1.0,1,3330.0,45.79525856970557,126.29048357799503,SE,63.15845743791236,-2.339821925517316,19.21131881658421,0.910601455767054,,"322:CO:SNTL,1042:CO:SNTL,412:CO:SNTL","2.3,13.6,14.5"
7bdfa3ed-4131-4ccb-9732-6a5fd4f6ce74,2026-02-07 19:00:00+00:00,-106.1400903,39.615922,Vail & Summit County,S,L,N,1.0,1,3696.0,38.1338899944885,131.54127568119358,SE,46.39131234741716,-2.540000000000002,10.9503016195176,-3.8970467404392592,,"802:CO:SNTL,415:CO:SNTL,842:CO:SNTL","11.5,14.3,20.6"
45bfd639-bb7a-48d8-bd74-bf744e122092,2026-02-07 19:00:00+00:00,-107.2143113,39.0356168,Aspen,W,WL,N,1.0,1,3517.0,33.58072437117289,266.7257782365146,W,59.95799477555047,-2.539999999999998,16.75066505547082,-2.995010928935651,,"669:CO:SNTL,618:CO:SNTL,737:CO:SNTL","7.7,12.2,14.4"
9ec29edb-76ea-4c8d-bf8a-a4cbb7516283,2026-02-07 19:00:00+00:00,-106.816309,39.010112,Aspen,N,L,,1.0,1,3335.0,27.743540327247825,345.6432240465435,N,67.72451642741761,0.0,16.208472944081127,-5.815931654132928,,"1326:CO:SNTL,1141:CO:SNTL,380:CO:SNTL","2.2,6.5,17.5"
45bfd639-bb7a-48d8-bd74-bf744e122092,2026-02-07 19:00:00+00:00,-107.1803034,39.0159423,Aspen,W,WL,N,1.0,1,3239.0,31.82733219879883,263.96901075434783,W,64.44164736789858,-2.539999999999998,18.048540474791743,-3.388403317209594,,"669:CO:SNTL,737:CO:SNTL,618:CO:SNTL","7.6,11.3,15.7"
9ec29edb-76ea-4c8d-bf8a-a4cbb7516283,2026-02-07 19:00:00+00:00,-106.8285003,39.0237849,Aspen,SE,WL,N,1.0,1,3831.0,7.003144137438555,69.77514056883192,E,67.72826018117901,0.0,16.201800979700014,-5.795206863720837,,"1326:CO:SNTL,1141:CO:SNTL,380:CO:SNTL","2.7,8.1,18.0"
626a909c-35a4-4fae-9b98-621a49dc6953,2026-02-06 19:00:00+00:00,-107.129375,38.890398,Gunnison,E,WL,N,1.0,1,3524.0,28.338171906411937,102.8256743764762,E,68.23652223704177,-0.9870628281215356,18.76637315915073,-2.9647571583291024,,"380:CO:SNTL,737:CO:SNTL,669:CO:SNTL","15.2,15.5,20.9"
